analysis_id,p6e1j66xq48y5wl
parameter_name,Tibia
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
pvalue,0.531742
mouse_life_stage,Early adult
