parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:1274787
parameter_name,center - resting time
mouse_strain,C57BL
pvalue,0.2580023
analysis_id,85w46v0phf1o45v
mouse_life_stage,Early adult
gene_symbol,Trdmt1
