parameter_name,Embryo turning
gene_symbol,Kdm4c
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:1924054
mouse_strain,C57BL
pvalue,0.8935731
analysis_id,yd65ai1y860q855
mouse_life_stage,Early adult
