analysis_id,616c8k4w8l7o682
parameter_id,IMPC_GEP_084_001
pvalue,0.539241
mouse_strain,C57BL
parameter_name,Limb morphology
gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
