gene_symbol,Ap5s1
parameter_name,Periphery average speed
gene_accession_id,MGI:1916846
analysis_id,q94m7nhjuq1gj7m
mouse_life_stage,Early adult
pvalue,0.5356552
mouse_strain,C57BL
parameter_id,ESLIM_007_001_009
