parameter_name,Periphery permanence time
mouse_strain,C57BL
pvalue,0.6521435
gene_accession_id,MGI:1916846
analysis_id,3f09947761649u1
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_012_001
gene_symbol,Ap5s1
