gene_symbol,Ola1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Center average speed
gene_accession_id,MGI:1914309
analysis_id,0f901g913x641x7
pvalue,0.5493534
parameter_id,HRWLLA_OFD_017_001
