parameter_name,Limb coat/hair presence
analysis_id,3799ds006e9w6s7
gene_symbol,Bmp7
gene_accession_id,MGI:103302
mouse_strain,C57BL
parameter_id,MGP_CSD_030_001
pvalue,0.8021234
mouse_life_stage,Early adult
