parameter_id,HMGULA_HWT_008_001
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
parameter_name,Heart weight
pvalue,0.08424975
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,9uhy6p495rk9qy3
