parameter_name,Limb grasp
gene_accession_id,MGI:1917810
pvalue,0.7046428
gene_symbol,Wars2
mouse_life_stage,E12.5
analysis_id,7i71v5s4m3jp916
mouse_strain,C57BL
parameter_id,JAXLA_CSD_039_001
