analysis_id,zhkz9h74rn835ph
mouse_life_stage,Early adult
gene_symbol,Rab22a
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:105072
mouse_strain,C57BL
pvalue,0.3733288
parameter_name,KLRG1+ gd T cells - % of gd T cells
