gene_symbol,Ilkap
parameter_id,MGP_MLN_066_001
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.7592735
gene_accession_id,MGI:1914694
mouse_strain,C57BL
analysis_id,3fv9624eegws2x5
