analysis_id,953948w0l10r4z4
gene_accession_id,MGI:2140475
gene_symbol,AU040320
pvalue,0.4862926
mouse_life_stage,Middle aged adult
parameter_id,JAX_ROT_002_001
parameter_name,Average duration
mouse_strain,C57BL
