gene_symbol,Traf6
parameter_name,Total CD4+ T cells - % of CD45+
analysis_id,vem6te86d88kr1i
gene_accession_id,MGI:108072
pvalue,0.1906676
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_071_001
