analysis_id,lu42s1712g987o5
gene_symbol,Zfp683
mouse_strain,C57BL
pvalue,0.6681618
parameter_id,IMPC_OFD_021_001
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
parameter_name,Number of rears - total
