gene_symbol,Sprr1b
parameter_id,IMPC_IMM_065_001
analysis_id,6k223937ab107lh
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4037673
parameter_name,B2B Cells
gene_accession_id,MGI:106659
