analysis_id,g25drmh6kp3ug6y
parameter_id,IMPC_ECH_018_001
gene_symbol,Cdin1
pvalue,0.3398654
gene_accession_id,MGI:3026886
mouse_strain,C57BL
parameter_name,Respiration Rate
mouse_life_stage,E9.5
