analysis_id,s2518kuqqxb76y1
mouse_strain,C57BL
parameter_id,MGP_PBI_018_001
pvalue,0.1623134
parameter_name,Ly6Clow monocyte percentage
gene_symbol,Lpgat1
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
