gene_symbol,Snrpb2
mouse_strain,C57BL
pvalue,0.915286
mouse_life_stage,Early adult
analysis_id,r2083a5szi26tf6
parameter_id,IMPC_HEM_006_001
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:104805
