analysis_id,99as3ko10oiy21a
pvalue,0.1709159
gene_symbol,Rgs20
parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
mouse_strain,C57BL
