parameter_name,Narrow eye opening
analysis_id,7z3r03l545r1x32
gene_symbol,BMI1
mouse_life_stage,E12.5
parameter_id,IMPC_EYE_006_001
pvalue,0.9654385
mouse_strain,C57BL
gene_accession_id,MGI:88174
