analysis_id,fh2434u6j40uso8
parameter_name,Center average speed
gene_symbol,Atf3
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_017_001
gene_accession_id,MGI:109384
mouse_strain,C57BL
pvalue,0.3156387
