gene_symbol,Sass6
gene_accession_id,MGI:1920026
mouse_strain,C57BL
pvalue,0.4742088
analysis_id,l5j22q3xe807xh9
parameter_name,LVIDd
mouse_life_stage,E12.5
parameter_id,IMPC_ECH_008_001
