parameter_name,Time mobile dark side
analysis_id,883wfqno6p0j5yu
pvalue,0.1118269
gene_symbol,Bmi1
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
parameter_id,JAX_LDT_005_001
