parameter_id,JAXLA_GRS_011_001
pvalue,0.1189709
mouse_strain,C57BL
analysis_id,00m6p7954zdd53b
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
