analysis_id,0676324o41q91er
pvalue,0.4142083
gene_accession_id,MGI:109356
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Snap23
parameter_id,IMPC_HEM_006_001
parameter_name,Mean corpuscular hemoglobin
