parameter_name,Hindlimb digit - size
gene_symbol,Frmpd1
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
mouse_strain,C57BL
Pvalue,0.729115
analysis_id,42rr1130bvp51gs
parameter_id,IMPC_CSD_047_001
