parameter_id,IMPC_GEL_028_001
gene_symbol,Dmap1
parameter_name,Forebrain
pvalue,0.5530624
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
mouse_strain,C57BL
analysis_id,48k68o3w9vfkgk6
