analysis_id,70ff355275281nx
pvalue,0.2131441
mouse_strain,C57BL
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_017_001
