parameter_name,Skull shape
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
pvalue,0.1158879
parameter_id,IMPC_XRY_001_001
mouse_strain,C57BL
analysis_id,d2r92b16664008f
