analysis_id,98p149uuf61v93x
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Neutrophil percentage
pvalue,0.9311972
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
parameter_id,MGP_PBI_019_001
