analysis_id,kc470er7z9y0856
gene_symbol,Cdin1
parameter_name,Radius
gene_accession_id,MGI:3026886
parameter_id,IMPC_XRY_022_001
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.4621723
