gene_symbol,Trp53rkb
parameter_name,ST
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_008_001
analysis_id,8lpztudynh1e354
pvalue,0.2594641
gene_accession_id,MGI:1914050
