parameter_name,Eosinophil number
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Bpifa3
analysis_id,s2t79v474926l4m
parameter_id,MGP_PBI_040_001
pvalue,0.7127973
gene_accession_id,MGI:1920638
