gene_symbol,Kcng1
parameter_name,Total cholesterol
gene_accession_id,MGI:3616086
pvalue,0.4989223
mouse_life_stage,Early adult
analysis_id,ts7r549dfd167wh
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
