parameter_name,Skull shape
gene_symbol,Exd1
analysis_id,0f5jzgoy8ndf855
pvalue,0.1632089
mouse_life_stage,Early adult
parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
gene_accession_id,MGI:3045306
