parameter_name,Mean cell volume
parameter_id,ESLIM_016_001_005
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
analysis_id,l0wa4382gtu954j
gene_symbol,Extl1
pvalue,0.1199662
