gene_symbol,Arpc2
parameter_name,CD8+ KLRG1+ alpha beta T cell number
analysis_id,z7sghvpke0j1xq3
pvalue,0.1801703
mouse_strain,129SV
gene_accession_id,MGI:1923959
parameter_id,MGP_PBI_033_001
mouse_life_stage,Early adult
