gene_symbol,Ahcy
parameter_name,PQ
analysis_id,bxm555hihpzfmij
pvalue,0.09950238
gene_accession_id,MGI:87968
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
mouse_life_stage,E9.5
