Parameter_id,CCP_LFO_001_001
Parameter_name,Weight
Analysis_id,i79l800914p5952
mouse_life_stage,Early adult
Pvalue,0.3563627
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
mouse_strain,129SV
