parameter_name,Eosinophil cell count
pvalue,0.4121593
gene_symbol,Bpifa3
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_036_001
mouse_strain,129SV
gene_accession_id,MGI:1920638
analysis_id,2ctsoq88z575k6t
