analysis_id,oc00u2849m9142a
mouse_life_stage,Late adult
gene_symbol,Slc30a4
parameter_name,Persistence of hyaloid vascular system
pvalue,0.2995921
parameter_id,IMPC_EYE_027_001
mouse_strain,C57BL
gene_accession_id,MGI:1345282
