gene_symbol,Usp37
pvalue,0.8140178
mouse_strain,C57BL
gene_accession_id,MGI:2442483
analysis_id,v27r9o672n80v6s
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_015_001
