gene_symbol,Rufy4
analysis_id,t167p88r436g0wo
gene_accession_id,MGI:3588214
parameter_name,Center distance travelled
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
mouse_life_stage,Early adult
pvalue,0.1571715
