gene_symbol,Mms22l
mouse_strain,129SV
gene_accession_id,MGI:2684980
analysis_id,7p9u827o3q1wt40
parameter_name,IgD+ mature B cell number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_035_001
pvalue,0.07684814
