gene_symbol,Ntmt2
analysis_id,49c8s1e6k15852s
gene_accession_id,MGI:2685053
parameter_id,MGP_MLN_021_001
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.9415301
mouse_strain,C57BL
mouse_life_stage,Early adult
