gene_symbol,Pld1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
analysis_id,4d70vzh77h1vqvm
pvalue,0.6726415
gene_accession_id,MGI:109585
parameter_id,JAXLA_OFD_020_001
