gene_symbol,Psmd14
parameter_name,Right total retinal thickness
parameter_id,IMPC_EYE_062_001
analysis_id,dmokj3x11jd100p
pvalue,0.9630623
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
