analysis_id,039778125sug1e9
gene_symbol,Wars2
mouse_strain,C57BL
parameter_id,IMPC_IMM_046_001
parameter_name,DN CD44+CD62L- NKT cells
mouse_life_stage,E12.5
pvalue,0.7499239
gene_accession_id,MGI:1917810
