parameter_name,Radius
gene_symbol,Cd52
pvalue,0.1340411
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
gene_accession_id,MGI:1346088
analysis_id,ujrs52a324k8ft6
mouse_life_stage,Early adult
