parameter_name,Hindlimbs - shape
pvalue,0.9187796
gene_symbol,Mecom
mouse_strain,C3H
analysis_id,y5byan99xh52q28
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
parameter_id,JAXLA_CSD_021_001
