parameter_name,Limb grasp
pvalue,0.6958229
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,0myj3o424twvqhe
gene_symbol,Bach2
parameter_id,JAXLA_CSD_039_001
