mouse_strain,129SV
parameter_id,MGP_IMM_131_001
parameter_name,CD103+ CD11b-low cDC - % of CD45+
gene_symbol,Inpp1
gene_accession_id,MGI:104848
pvalue,0.6949295
analysis_id,07ga0nurzx89n6q
mouse_life_stage,Early adult
