parameter_name,Periphery permanence time
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,z2fd6898rob1lez
gene_accession_id,MGI:1913405
pvalue,0.2771056
gene_symbol,Ufc1
parameter_id,IMPC_OFD_012_001
