analysis_id,5lzrj2u631egoem
parameter_name,Bone Area
mouse_strain,C57BL
gene_symbol,Wars2
parameter_id,IMPC_DXA_010_001
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
pvalue,0.5224207
