gene_symbol,Atg4c
pvalue,0.2885986
mouse_strain,C57BL
parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
analysis_id,729cf9j0684x358
