gene_symbol,Alkbh3
pvalue,0.2971548
parameter_id,MGP_PBI_027_001
parameter_name,NK cell number
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
analysis_id,q713r4p86myc62i
