analysis_id,13u10www2g249sx
parameter_name,Gait
gene_symbol,Dhdds
mouse_strain,C57BL
pvalue,0.2985042
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_033_001
