parameter_name,Tibia
analysis_id,2urf9py3775b699
gene_accession_id,MGI:1919137
mouse_strain,C57BL
pvalue,0.5928852
gene_symbol,PPM1J
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_025_001
