parameter_name,Coat colouration
pvalue,0.35689
gene_accession_id,MGI:2444114
parameter_id,M-G-P_026_001_004
mouse_life_stage,Early adult
gene_symbol,Zcchc2
mouse_strain,C57BL
analysis_id,g059w6a1g434y39
