mouse_life_stage,Late adult
gene_symbol,Lpgat1
pvalue,0.9790176
parameter_name,KLRG1+ mature NK cell percentage
gene_accession_id,MGI:2446186
analysis_id,53rei01u5xgm2w2
parameter_id,MGP_PBI_011_001
mouse_strain,C57BL
