parameter_id,M-G-P_026_001_004
gene_symbol,Duoxa2
analysis_id,0y3j8zf677o3855
mouse_strain,C57BL
parameter_name,Coat colouration
pvalue,0.8369342
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
