Analysis_id,1l5473257020c02
Gene_accession_id,MGI:96757
Gene_symbol,Lcn2
Mouse_life_stage,Early adult
Parameter_name,White blood cell-count
Pvalue,0.06410436
Parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
