parameter_name,Lean/Body weight
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
pvalue,0.08068432
mouse_strain,C57BL
analysis_id,k6c91846bj92eb0
parameter_id,JAXLA_DXA_008_001
